area_ha,count,defo_m2,farm_id,label,total_m2,defo_pct
0.87,87,0.0,498,1,8529.058287586888,0.0
0.58,58,0.0,499,1,5690.520994747385,0.0
9.02,902,0.0,500,1,88568.84107654047,0.0
0.56,56,0.0,501,1,5493.122254375384,0.0
0.59,59,0.0,502,1,5789.427141167136,0.0
7.11,711,0.0,503,1,69835.36690952083,0.0
10.96,1096,0.0,504,1,107634.65467257038,0.0
11.32,1132,0.0,505,1,111180.94484878235,0.0
0.76,76,0.0,506,1,7457.454139918906,0.0
0.63,63,0.0,507,1,6172.802340309291,0.0
0.86,86,0.0,508,1,8429.9203958848,0.0
2.37,237,0.0,509,1,23267.55565403956,0.0
4.38,438,0.0,510,1,42981.83598184024,0.0
1.3,130,0.0,511,1,12752.222841958439,0.0
0.55,55,0.0,512,1,5396.218313299442,0.0
0.71,71,0.0,513,1,6968.604416432101,0.0
1.17,117,0.0,514,1,11489.32328174068,0.0
45.5,4550,0.0,515,1,446845.25170437805,0.0
0.57,57,0.0,516,1,5594.027964333927,0.0
0.69,69,0.0,517,1,6770.61075660855,0.0
0.52,52,0.0,518,1,5102.118175371954,0.0
1.48,148,0.0,519,1,14530.471290917494,0.0
0.7,70,0.0,520,1,6868.167694929531,0.0
2.17,217,0.0,521,1,21307.49970607384,0.0
5.49,549,0.0,522,1,53906.107566235085,0.0
1.41,141,0.0,523,1,13841.167146720147,0.0
0.6,60,0.0,524,1,5882.213866469438,0.0
1.61,161,0.0,525,1,15794.123976793468,0.0
0.57,57,0.0,526,1,5596.928841325347,0.0
0.68,68,0.0,527,1,6674.940593913956,0.0
